Title,Rating,Review_counts,City,Province,Reviews
TREETOPS SKI in and out 3 BR luxury Townhouse,4.5,33,Big White, British Columbia,This is a great rental! Location is perfect for ski-in ski-out. Super
Our Whistler Retreat,5,20,Whistler, British Columbia,a multigenerational vacation perfect. It is close to the slopes but
"Beachwood Cottage, Lovely Private Waterfront",5,22,Victoria, British Columbia, mention of vacation rentals Beachwood is all you could ever want in a vacation rental and
Vacation rental beautiful cape Breton island,,,Inverness, Nova Scotia,
Base Camp Guest House & Cabins (WHOLE HOUSE) Sleeps 16+,4.5,22,Revelstoke, British Columbia,"tainted our experience in Revelstoke. Avoid this rental, avoid this"
Campbell River Vacation Rental,,,Campbell River, British Columbia,
Fantastic house on Sunset Coast of Cape Breton ideally located on island,4.5,8,Inverness, Nova Scotia,"October rental, although wood was a little hard to find.  Adult"
Marians On The Coast Dog Friendly Seaside Retreat,5,53,Gibsons, British Columbia,hosts. We will return to this amazing vacation spot.
76 Glaciers Reach this 2br home has a hot tub & pool in Whistler Village,4.5,56,Whistler, British Columbia,"the reception door, which no one was there. Too bad this place could be really good vacation home :)"
Historic Seaside Cottage (10 mins from St. John's),5,24,St. John's, Newfoundland and Labrador,recommending this rental to family and friends. Thank you for a lovely holiday Diane and Bill Hodge Belleville Ontario
Le Plateau : St-Denis Street + Rooftop Terrace,4.5,18,Montreal, Quebec," mention of vacation rentals As promised, this rental apartment is tucked away in a quiet recess"
Tin Poppy - Eco Retreat! Glamping in the Larch Hill near Salmon Arm,5,12,Salmon Arm, British Columbia, mentions of vacation rentals lot and been to many vacation rentals and this place is definitely at
The Cabin at Moon Dance -Waterfront Private Luxury,5,68,Madeira Park, British Columbia,"nearby (like restaurants, kayak rental, swimming, groceries). Beautiful house/cottage. Don’t stay too short...."
Upscale chic & central Fully furnished apartment,4.5,14,Ottawa, Ontario,we had to cut out vacation short for personal reasons we really
Comfortable Modern Mountain Style Condo 2Bed/2Bath,5,40,Radium Hot Springs, British Columbia,"Our th year at this perfect condo rental, we just love it ! It is"
Open Concept Studio with Walk Out Covered Deck,4.5,42,Nanaimo, British Columbia,home while on a vacation. Very thoughtfully stocked with
Marrakech Mansion 1 block to Queen St. 1/2 to Lake,5,33,Niagara-on-the-Lake, Ontario, mention of vacation rentals attending the Shaw Festival. We absolutely loved this holiday rental from
Wells' Watch Log Chalet & Retreat,4.5,3,Glovertown, Newfoundland and Labrador, mention of vacation rentals Just a wonderful and peaceful vacation rental. Everything was
Historic Victorian Style House Walk to Niagara Falls,4,5,Niagara Falls, Ontario, mention of vacation rentals Having used other vacation rental sites in the past this was the
"Seashack Cottage - Chesterman Beach, Tofino, B.C.",5,28,Tofino, British Columbia, mention of vacation rentals This lovely round house is a true 'rental by owner'. It dates from
Victoria Cottage Garden Suite,5,38,Victoria, Prince Edward Island,"found this quaint vacation spot, we will return whether for a day, a week"
Lake front Log Home ( year round vacation rental ),,,Bonaventure, Quebec,
"Oceanfront Vacation Home near St. John's, Nfld",4.5,3,St. Mary's, Newfoundland and Labrador,"& would highly recommend this Rental! We all enjoyed our Holiday, had"
Private 36 acre Lakefront Cottage with Sandy Beach,5,6,Restoule, Ontario,you could need for a perfect family vacation. Stunning location with
Beautiful Modern LAKESIDE Cottage in Haliburton,5,30,Haliburton, Ontario, mention of vacation rentals of the rental. We got up close and personal experience watching the
Luxury 2 bedroom Harbour View Apartment Crosstown,4.5,21,Vancouver, British Columbia,"I am a frequent, global traveler and have rented many vacation homes"
Lake House Guest Cottage,5,120,St. Catharines, Ontario, mention of vacation rentals so accommodating. We would highly recommend this lovely vacation rental.
Diverse Rentals and Vacations Suite,5,5,Penetanguishene, Ontario,was one we will never forget as our experience with Diverse Rentals
"The Nest at Spirit Pond in Baynes Lake Vacation Rental Fernie, Koocanusa",,,Jaffray, British Columbia,
Abigail House,5,17,Niagara-on-the-Lake, Ontario,"rental agent, promptly replied to all my inquiries. The rental process"
Duck and Loon Vacation Rental,,,Picton, Ontario,
"4 Bedroom Cottage,in Moon Bay,Georgian Bay,Muskoka",4.5,17,Mactier, Ontario,For last  years our family spent at least a dozen of vacation on
Cabin/Hot-tub/Stunning View/Romantic/Honeymoon/Elope near Vancouver&Whistler BC,5,53,Brackendale, British Columbia," mention of vacation rentals Warren adds to the charm. Love the bathroom sink, gorgeous! This vacation rental is a must!"
"Main Village-1 Bedroom+2 Sofabeds, 50' QLED 4K TV",5,26,Whistler, British Columbia,We're on vacation- clutter is normal! Hideaway beds were
Periwinkle Cottage - Heated pool & private garden,5,17,Niagara-on-the-Lake, Ontario, mention of vacation rentals on the Lake. I had one of the best vacations of my life here. I sat
Dans La Casa Cottage On Okanagan Lake,4,2,Kelowna, British Columbia,all our needs. Just a really great vacation.
BRIGHT PRIVATE SUITE CLOSE TO ROYAL ROADS & GOLF,5,6,Victoria, British Columbia, mention of vacation rentals I was pleasantly surprised at how spacious this vacation rental was.
Halfmoon Haven Beach Cottage,4.5,13,Halfmoon Bay, British Columbia, mention of vacation rentals I was recently at a beautiful vacation rental on the Sunshine Coast
"Canada's Rotating House, Suites, &amp; Tours",5,15,North Rustico, Prince Edward Island, mention of vacation rentals anything more for our vacation. We will return!
Fully Furnished Loft Condo DT,5,3,Victoria, British Columbia, mention of vacation rentals This vacation rental was in the perfect location in Victoria. The
Fabulous 3 Bedroom Condo 7 minutes from the Hill,5,26,Mont Tremblant, Quebec,Easily one of the cleanest and well taken care of rentals you will
Stanhope 3-Bedroom Cottages PEI,4.5,15,Stanhope, Prince Edward Island,Stanhope Cottages was a great place for a summer vacation with our
Large vacation rental in Little Italy,,,Toronto, Ontario,
"Great Location, 2 bedroom trendy Main Street",5,13,Vancouver, British Columbia, mention of vacation rentals shopping and dining. I have booked many vacation rentals in countries
Tuwanek Timbers,4.5,41,Sechelt, British Columbia,"Timbers truly felt like ""home away from home"". Hope to make it our yearly vacation spot."
"Garden Suite close to the Ocean, Park and Downtown",4.5,18,Victoria, British Columbia," mention of vacation rentals parents here for their first experience at a vacation rental, and they"
"Tremblant Resort Holiday rental - ski, spa and golf condo with spectacular view",5,12,Mont Tremblant, Quebec,"Perfect condo for our ski vacation. Clean, comfortable beds, nicely"
Best Sauble Beach has to offer!!!!,4,4,Sauble Beach, Ontario," mention of vacation rentals This cottage was the perfect family vacation rental, steps to the"
Tulip House,5,38,Vancouver, British Columbia, mention of vacation rentals on our vacation in Vancouver.. Dagmar greeted us warmly and allowed
Nova Scotia 2 bedroom cottage on the Ocean,5,8,Guysborough, Nova Scotia, mention of vacation rentals the best vacations we've ever been on. It was the perfect place for
Tara House of Ferryland,5,20,Ferryland, Newfoundland and Labrador,We booked the Tara House in Ferryland as part of a -week vacation in
Moyie Lake BC -Beautiful lake front property,4.5,13,Moyie, British Columbia, mention of vacation rentals Rental of cabin at Moyie Lake was a great decision. We had al that we
Luxurious Loft in Chic Neighbourhood - Quiet - High ceilings Gorgeous design,5,28,Montreal, Quebec, mention of vacation rentals Moisson on Bernard). This was our first time using a vacation rental and we couldn't have been happier!
"room for vacation rental at Okanagan Lake, Vernon BC, Canada",,,Vernon, British Columbia,
New YPCFitness & Vacation Rental With Private Hot Tub & Free Hot Spring Passes,4.5,4,Invermere, British Columbia,"I can highly recommend this rental place, we feel safe and welcome as"
Cedar Acres Vacation rental,5,,Fanny Bay, British Columbia,
"The Wharf Waterfront Suite - quiet, private wharf, 1000 sq ft self-cont. suite",5,27,Madeira Park, British Columbia," mention of vacation rentals criteria for any vacation rental), very spacious and bright that was"
Daffodil Cove Cottage on the ocean,4.5,35,Salt Spring Island, British Columbia," mention of vacation rentals relaxing vacation right on the ocean, this is the place."
Tulameen Vacation Cabin,5,6,Tulameen, British Columbia,family vacation and the only complaint I have is it was too short........we will be back next year!
Spacious 4 bedroom 3 bathrooms with the amenities,4,17,Richmond, British Columbia,"toaster!) If you are looking for a great vacation home, look no"
"Beautiful Mountain Escape! Pool, Sauna",4.5,9,Canmore, Alberta, mention of vacation rentals This was the first time we used a vacation rental through Trip
Beach Log Home slps 14 Home kayaks/canoe clam/oyster shore fishing beach bonfire,4.5,11,Qualicum Beach, British Columbia,Oregon () and traveling to Bowser. At the end of our vacation they all
Xanadu Estate on Vancouver Island,4.5,17,Cobble Hill, British Columbia," mention of vacation rentals outside of the vacation rental. Activities for a family of , with"
AMAZING 2 bedroom water front downtown vacation rental,4,2,Kelowna, British Columbia,
The Old Salt Box Co. Aunt Christi's,5,9,Greenspond Island, Newfoundland and Labrador," mentions of vacation rentals encountered in a vacation rental. Everything we needed was there, and"
Bertrem's Beach Home,5,22,Bonavista, Newfoundland and Labrador, mention of vacation rentals start of the high tourist season. This vacation rental is relatively
Little Bear Garden View Suite Self-Catering Vacation Rental,,,Royston, British Columbia,
STUNNING HILLSIDE LOCATION OVERLOOKING VERNON,5,15,Vernon, British Columbia, mention of vacation rentals Had a wonderful stay. st time doing the vacation home rental...would
"The Roost Cottage, Windermere, Muskoka, Ontario",4.5,9,Windermere, Ontario," mention of vacation rentals Beautiful cottage rental, so spacious and homely. Great to return to"
KOOTENAY LAKE SANCTUARY,4.5,40,Nelson, British Columbia,Incredibly relaxing vacation paradise! Super host who was available
Anchors Away - The Place To Stay AWAY From Home!,5,18,Leamington, Ontario, mention of vacation rentals I have already recommended this vacation rental to friends and family
Big Rock Vacation Rental - 201,,,Campbell River, British Columbia,
"Ski the Blue Mountains, Bruce Trail or Georgian Trail!!",5,13,Meaford, Ontario,beautiful pool. We had a great vacation and would definitely recommend - the
Oceans Tide Resort - Inn of the Sea Condo Nanaimo,5,11,Nanaimo, British Columbia,renting someone's residence while on vacation. It was the best
Okanagan Lakeside Cottage with Spectacular view,4.5,2,Kelowna, British Columbia, mention of vacation rentals This was our first Holiday rental and won't be our last. :-) We
McGregor Bay Island Cottage Rental,5,10,Little Current, Ontario,night. Thanks again for everything. It was a family vacation we will all remember. The Roberts Family
"Oliver's Landing, Gros Morne, Rocky Harbour, NFLD",4.5,19,Rocky Harbour, Newfoundland and Labrador, mention of vacation rentals equipped and most spacious kitchen we found among  different vacation
River House - A Mountain Paradise,5,13,Golden, British Columbia, mentions of vacation rentals our overall vacation a fun and memorable trip. We travel all over the
Vacation Rental Playa de Sol Kelowna,,,Kelowna, British Columbia,
Vacations Rental 3 BR Suite in Mississauga,5,,Mississauga, Ontario,
"UltimateBnB-5 Star Luxury Suite, Ocean, Mtn. & City Views, Hot-Tub & Breakfast!",5,14,Victoria, British Columbia, mention of vacation rentals knives were high quality and very sharp--a first for a vacation rental
Studio or 1 Bedroom - Sauble Beach,4,21,Sauble Beach, Ontario,We looked into a number of rental properties in the Sauble Beach
Above the Inlet Vacation rental Leopard SuiteView!,,,Sechelt, British Columbia,
HighView overlooking Maple Bay,5,12,Duncan, British Columbia,this rental for anyone staying on Vancouver Island. As stated in
"Charming Oceanside Home, Newly Renovated",4.5,4,Beaver Harbour, New Brunswick, mention of vacation rentals We found this house on an vacation rental website because you're
MAISON DE CAMPAGNE ST-IRENEE,5,23,Charlevoix, Quebec, mention of vacation rentals Another great advantage that is frequently missing in vacation rentals
Discover Oasis Nature - Quiet Cabine Home - Vacation Rentals,,,Saint-Come, Quebec,
"Port Dover Summer House - cycling, hiking & beach",4.5,13,Port Dover, Ontario, mention of vacation rentals We are having the best beach vacation. Our stay here has been
Petite Riviere Cottage near Rissers Beach,5,9,Lunenburg, Nova Scotia, mention of vacation rentals space for a vacation rental including hanging storage in two bedrooms. The
Beautiful Bungalow in historic Niagara on the Lake- Recently renovated bathrooms,5,31,Niagara-on-the-Lake, Ontario,"Best rental property in NOTL! Shortly after we arrived, we were"
"Son Country Chalet, Shuswap's Best Family Vacation Rental - Hot Tub / Pool Table",,,Scotch Creek, British Columbia,
A Charming Log House Suite ' No Tax',5,25,Sooke, British Columbia,"On a mini vacation with our family, the mini suite was perfect. Nice"
B Skier's Plaza-walk 2 dinner-TRUE Ski in/out-30 mts to Village Run-4 bed/4 B,5,12,Whistler, British Columbia, mention of vacation rentals My husband and I stayed here on a ski vacation with friends. Whistler
"Greaves Sweet Escape, Boutique 2 Bedrm huge historic loft, best location in town",5,102,Niagara-on-the-Lake, Ontario, mention of vacation rentals Everything one would hope for was available in this very large rental unit.
"Laughing Waters Cottage Rental and/or Bed and Breakfast Blind River, Ontario",5,4,Algoma Mills, Ontario," mention of vacation rentals vacation I've had in some time, the house was fantastic, the water was"
Natural Light and Sweeping City Views in Downtown Toronto,5,26,Toronto, Ontario," mention of vacation rentals indulgences. In short, I recommend this rental highly to individuals"
Enchanting Short Term Apartment In a great area,5,13,Montreal, Quebec, mention of vacation rentals vacation were quite frustrating - the fact that I would definitely come
Rose Bay Cottage,4.5,11,Rose Bay, Nova Scotia,standard of many vacation homes which we have rented in the past and on
OceanSide Vacation Rental,,,Shediac, New Brunswick,
Lake Temagami Hub Island Vacation Cottage rental,5,,Temagami, Ontario,Beautiful cottage rental. All wood interior with private dock on back
"Five Star Quality Fully Equipped Kitchen, Jucuzzi Tub & Parking Included",5,4,Edmonton, Alberta, mention of vacation rentals We have just started using vacation rentals recently and I am amazed
"Casa Grosvenor - Private, Cozy & Lovely",5,18,Victoria, British Columbia," mention of vacation rentals , bedroom and living room. I highly recommend this vacation rental for"
Gorgeous French Country Chateau with Hot tub,4.5,2,Victoria, British Columbia, mention of vacation rentals have no reservations in recommending this vacation rental to my friends.
"One of a kind, remote vacation rental",1,,Campbell River, British Columbia,Road which took us over  hours to travel one way in our city rental
The Tremont Loft - elegant historic brick Loft!,2,,Nelson, British Columbia, mention of vacation rentals uneasy and rethinking my stance on vacation rentals run by non
Percy Hill Vacation Home,5,14,Montague, Prince Edward Island,beautiful island. Our home for the week was the Percy Hill Vacation
Nanaimo Harbourfront Townhome,5,2,Nanaimo, British Columbia, mention of vacation rentals have found your home away from home in this amazing vacation rental.
Luxury 4Brd LAKE FRONT!! House with water access.,5,4,Toronto, Ontario,
The Perfect Riverfront Chalet,4.5,7,Bracebridge, Ontario, mention of vacation rentals would required of a vacation rental. Had fun with the paddle boat.
Victoria Road Vacation Rental In Prince Edward Counry sleeps up to 10. FREE WIFI,,,Carrying Place, Ontario,
Stunning Sea Views at Starfish Cottage,5,16,Port George, Nova Scotia,yardstick that we will use to measure any future rentals by. The
Junior Prime Minister - 108 - SALE - HALF OFF CLEANING until Monday!,4,18,Niagara Falls, Ontario,grocery store. We had a rental car but found that the WeGo (local
"Aylesbury Manor, 1920's character home with pool",5,12,Niagara-on-the-Lake, Ontario, mention of vacation rentals My six friends and I highly recommend Aylesbury Manor as a vacation
Pat's Little Bit of Country,4.5,11,Niagara Falls, Ontario,was the cleanest rental we've stayed at yet. Pat was super helpful
Cozy 2 Bedroom Cedarparkcottage Sylvan Lake (Open),5,8,Sylvan Lake, Alberta, mention of vacation rentals for great icecream made this an ideal spot for a family vacation. Lots
Beamsville Bench Vineyard Cottage on Wine Route,5,14,Beamsville, Ontario,This vacation home was absolutely incredible. I stayed here with my
"Town House in the heart of James Bay, Victoria",4.5,15,Victoria, British Columbia," mention of vacation rentals One of the best vacation rentals I've used - very clean, well"
Carmichael Vacation Rentals,,,Bayfield, Ontario,
Ocean's Playground Cottage,4.5,9,Bear Point, Nova Scotia, mention of vacation rentals an easy drive. The rental process with Sandy Lanes Vacation Rentals
"Daily, Weekly, Monthly Rental Room in Niagara fall",,,Niagara Falls, Ontario,
The Copper Penny House - Family Vacation Rental,4.5,4,Niagara Falls, Ontario,But the house next to this one is nice and it too is a rental. The key
Forest View Cabin Private Hottub next to Cox Bay,5,19,Tofino, British Columbia, mention of vacation rentals This vacation rental was perfect. Best place we have ever stayed.
Beach House with Detached Bunkhouse in Sauble Beach,4.5,9,Sauble Beach, Ontario,"We had a great time at this rental, very cute and cozy and a two"
Vacations Rental 2BR+Den Suite in Ovation Towers M2121O2,,,Mississauga, Ontario,
Cozy Cottage New Wasaga,4,10,Wasaga Beach, Ontario,"We were supposed to stay at another rental, but upon arrival it was"
West Coast Vacation Rental,,,Sidney, British Columbia,
Loft on St-Lawrence River,5,6,Quebec City, Quebec, mention of vacation rentals vacation. This is a peaceful place right on the banks of the St Lawrence
"Legacy 102, one bedroom vacation rental, close to the Big White’s centre",,,Big White, British Columbia,
3 bedroom townhouse in southwest Edmonton,4.5,14,Edmonton, Alberta," mention of vacation rentals Since we found this vacation rental  years ago, we have stayed"
Karin's Sun Peaks Retreat,4.5,14,Sun Peaks, British Columbia, mention of vacation rentals This vacation rental was great for our family of four with 
Romantic Oceanfront Hotel Suite,5,12,Ladysmith, British Columbia, mention of vacation rentals furnishings and fixings you'd want for a vacation home has a beautiful view
NEW 2 BDR SUITE IN PLEASANT VALLEY,5,,Nanaimo, British Columbia, mention of vacation rentals parents and I had wanted to stay in a vacation rental while we scouted some
Beautiful St. John's Row House. Perfect Downtown Location!,4.5,15,St. John's, Newfoundland and Labrador,"to stores, parks, we were able to park our rental vehicle right in front of our house."
NEW BEACHFRONT CONDO - ULTIMATE UNOBSTRUCTED VIEWS,5,12,Nanaimo, British Columbia,home than a holiday rental. When we booked there hadn't been any
Lagoon Suite at Inn The Estuary Vacation Rentals,,,Nanoose Bay, British Columbia,
Kelowna Executive Home with Pool and Hot Tub,5,4,Kelowna, British Columbia, mention of vacation rentals We recently stayed at this vacation rental. This was our first time
Vacation Rental 10min of Montreal / Location de vacances 10min de Montreal!,,,Laval, Quebec,
Scottish flavour Century Home Downtown Digby NS ( THE BEST OF THE BEST),5,13,Digby, Nova Scotia," mention of vacation rentals have about this vacation rental is ""the house does not belong to ME"" !!"
Marcelay Beach House - Prince Edward Island,5,10,Saint Margarets, Prince Edward Island,"back! Next time for not just one but at least two weeks, it was the best vacation ever."
"Water Front Cabin with Hot Tub, Gulf Island BC Canada",5,23,Texada Island, British Columbia, mention of vacation rentals stayed at many different vacation rentals and this may have been the
Bedsyde Manor - Kelowna West on the Wine trail wonderful view of Lake Okanagan,5,14,Kelowna, British Columbia,"anyone looking for a really nice, comfortable and relaxing vacation."
Luxury Golf and Ski Vacation rental,,,Calgary, Alberta,
Roses on the Water Beach House,5,4,Elmira, Prince Edward Island, mention of vacation rentals Special thanks to Heather and Blair for the rental of the beach house
Villa Damene Rental Cottage,4.5,7,Bruce Peninsula, Ontario,We had wonderful vacation in this cottage. This cottage has very good
View Suite at Inn The Estuary Vacation Rentals,,,Nanoose Bay, British Columbia,
Booth Lane - 3 Bedroom 4 Season Cottage,4.5,4,Bancroft, Ontario,"private cottage rentals, you have to bring your own supplies, bedsheets"
"Cliff Waters Vacation Properties, Secluded",5,31,Pleasant Bay, Nova Scotia,This was our th stay at Cliff Waters Vacation Properties and let me
Vacation/short/long term rental,,,East Gwillimbury, Ontario,
Mont Tremblant Condo - Hilltop Rental - Location,5,2,Mont Tremblant, Quebec, mention of vacation rentals Wonderful vacation rental. Clean and well located.
Pacific Tide Beach House - Ocean View! Steps away from Rathtrevor Beach,5,9,Parksville, British Columbia, mention of vacation rentals comfortable! We slept well. It is a perfect vacation rental! As soon as we
2 BDRM WATERFRONT COTTAGE - SUNSET VIEW,4.5,34,Dwight, Ontario,extended weekend vacation. We relaxed and thoroughly enjoyed our time
Beach Area Getaway Alberta 23 minutes to Downtown Calgary,4.5,2,Chestermere, Alberta, mention of vacation rentals weekend getaway. This vacation rental was perfect. Lots of space for
Niagara Stone Retreat - SALE - HALF OFF CLEANING until Monday!,5,2,Fort Erie, Ontario,
Beach Chalets/Cottages,4.5,24,Bathurst, New Brunswick, mention of vacation rentals vacation and didn't need to be connected all the time. Chalets were
Vacations Rental 2 BR Suite in Mississauga - 1815O1,,,Mississauga, Ontario,
Oasis on/sur Lac Forget,5,26,Mont Tremblant, Quebec,vacation home on the lake and off the grid. A welcoming respite - bravo Stephen!
The Mighty Atlantic,5,8,Eagle Head, Nova Scotia,kind hostesses and approachable. I would recommend this rental to
"Luxury Slopeside-TRUE ski in/out 30 meters -walk 2 dinner-8 bedrooms, 8 bath A&B",5,15,Whistler, British Columbia, mention of vacation rentals The owner was incredibly helpful throughout the whole booking process. Definitely recommend this vacation rental.
Oceanview Cottage Rental,5,7,Parrsboro, Nova Scotia,"Worked well for Nan, Gramp and three grandkids on an adventure. Help from the nei..."
Spectacular Waterfront home close to Courtenay and Comox,5,28,Courtenay, British Columbia," mention of vacation rentals ""! Thank you John & Sue for allowing us to use your rental property! Had a great stay."
Acer Vacations | Mountain Star Ski in Townhome in Whistler 4 Bedroom Hot Tub,5,9,Whistler, British Columbia,will keep that in mind for future rentals. All in all we had a fabulous time. Thanks!!
Georgian Bay Cottage Vacations,5,8,Victoria Harbour, Ontario,"had a very peaceful and relaxed vacation. When we arrived, the owners"
Charming Short Term Apartment In Mile End/plateau,5,7,Montreal, Quebec," mention of vacation rentals This was my third stay at a short term rental in Montreal, and ithis"
Riverside Cottage,5,20,Bonshaw, Prince Edward Island,our vacation. It was  minutes to Charlottetown and  mins to
Harbour Light Haven,5,9,North Rustico, Prince Edward Island, mention of vacation rentals My husband and I stayed in this lovely vacation home for a week.
Jackladder Cottage Rentals,5,5,Bonne Bay, Newfoundland and Labrador,selected this house for my vacation. Quiet area and nice yard for my dog to
Beautiful 3 Bdrm 2000 SqF with large 22x10 Balcony,5,8,Toronto, Ontario, mention of vacation rentals The accommodating owners Wies and Dorota's charming rental home is
The Little Nuthatch Retreat Cottage Rental,4.5,3,Kagawong, Ontario,
DREAM ESCAPE,5,7,Tobermory, Ontario,were very happy with the rental. The location and cottage are great and
Wild Pacific Villa,5,23,Ucluelet, British Columbia,effortless. Overall a great condo if you're looking for a relaxing/fun vacation with family and friends.
Private Sunny House near the water and shopping,4.5,17,Victoria, British Columbia, mention of vacation rentals This was my fourth vacation rental in BC. Two were apartments and
"Sea Meadow Cottage, Bayfield, Antigonish County NS",5,13,Bayfield, Nova Scotia,The cottage sits up on a hill nestled in gardens. The hydrangeas were in full blo...
Snowbird101 4 Bdrm 4 bath Townhouse Walk to Lifts,5,15,Whistler, British Columbia,"Beautiful, well cared-for, luxurious, well appointed, and super convenient condo..."
Nicola Valley Cottage B&B (Vacation Rental),,,Merritt, British Columbia,
"3 bedroom artisan built home, surf Cox Bay Tofino",5,7,Tofino, British Columbia, mention of vacation rentals like home. Would highly recommend this rental for a special family event!!
"Executive Vacation Condo, Sleeps 6",5,8,Grand Bend, Ontario,will be greeted with a refreshing vacation condo on two levels. The
Wasaga Beach Zosia Chalet,4.5,15,Wasaga Beach, Ontario," mention of vacation rentals We've tried other rentals in the Wasaga/ Collingwood area, and this"
Dream vacation home on private island,5,5,Sharbot Lake, Ontario,"Awesome place, great fishing, clean and clear water, perfect cottage for everyon..."
Qualicum Beach Ocean Suites #9 - Oceanfront Vacation Rentals on Vancouver Island,5,2,Qualicum Beach, British Columbia,"romantic getaways or family vacations, there’s always something to do for"
Villa GRANDBLEU KAMOURASKA 4*,5,16,Kamouraska, Quebec, mention of vacation rentals The location and ammenities of this vacation rental are awesome. We
2 bedroom cottage at beautiful Stanhope Beach,5,19,Stanhope, Prince Edward Island,plane was delayed and the car rental company was closed when we
Buttercup Guest House,5,7,Vancouver, British Columbia,
THE ISLAND MILL GETAWAY~OFF SEASON SPECIAL~3RD NIGHT FREE!~YEAR ROUND HOT TUB~,5,18,Picton, Ontario, mention of vacation rentals thoughtfully provided a lot of the 'little things' often missing in vacation
Red Roof Inn Cottage,5,8,Comox, British Columbia,
Rent an Entire Cottage on Niagara River!,4.5,7,Niagara Falls, Ontario,venue for multiple families young and old sharing a vacation or weekend
Fabulous View over False Creek,4.5,8,Vancouver, British Columbia," mention of vacation rentals with our vacation. This is a lovely, lovely vacation rental! Beyond"
Cabin Rental Rural Perth/Lanark,4.5,3,McDonald's Corners, Ontario,
Le St-Laurent : BEST Location Quartier Latin + Walk to Old Montreal,5,41,Montreal, Quebec, mention of vacation rentals My girlfriend and I decided to go to Montreal on vacation this
Spacious & Relaxed Historic Home with Water View in Trendy Downtown,3,8,Halifax, Nova Scotia,cleaned many rental units and stayed in countless and I have to say yours needs a bit of TLC!
RIVERSIDE LOVELY COTTAGE-20 MINUTES FROM QUEBEC CITY-MOUNTAIN VIEW-AMAZING,5,16,Quebec City, Quebec,family of ! One of the highlights of our vacation was enjoying
The Lodge Cottage,5,8,Calabogie, Ontario,stayed at both available rentals and they are both great. No need to
Hardy's Channel Lighthouse Retreat,5,9,Ellerslie, Prince Edward Island," mention of vacation rentals vacation memory. Despite cool weather, we had an amazing holiday! The"
"Oceanfront, So. Shore, Lunenburg Co., Nova Scotia",4,5,LaHave, Nova Scotia,someone else's home instead of a holiday rental set up for the benefit
"Aspens 3101 a luxury vacation rental in Big White Mountain, British Columbia",,,Big White, British Columbia,
The Scuba Shack,5,5,Sechelt, British Columbia, mention of vacation rentals vacation rentals. The Scuba Shack offered more than we needed and it was
Le SKY : Spacious Apartment in the Heart of the Plateau with Private Deck,5,23,Montreal, Quebec,You won't be disappointed with this rental. The apartment was very
The Perch at Moon Dance - Modern Waterview Luxury,5,35,Madeira Park, British Columbia,moon dance rental. Needed a getaway from my crazy life and booked last
Oceanfront Vacation Rentals on Vancouver Island - Qualicum Beach Ocean Suites #6,,,Qualicum Beach, British Columbia,
Tremblant Haven RENOVATED 2 bdr ski in / ski out,5,26,Mont Tremblant, Quebec,This recent visit was our second to this vacation home and it will
2BR Beachfront Oceanfront Hot tub kayak rental clams/oysters fish from shore,4.5,11,Qualicum Bay, British Columbia,The tide was out and we were treated to a Heron fishing accompanied by a few sea...
"Greenwater Lake, SK - 3 Bedroom Cabin Rental",4,3,La Ronge, Saskatchewan,Nice place for staying in winter time for kids and adults. Kids were wery happy t...
"Harbourview Rental in Port de Grave, NL",4.5,4,Brigus, Newfoundland and Labrador,This property provided a great home base for day trips. Totally rocommend this to...
Willow Bank - Private Lakeside Retreat- Tobermory,5,52,Tobermory, Ontario,individual requests (put out the high chair for us). I would definitely recommend this rental.
Vacation Home Across the Road from Georgian Bay- Penetanguishene,5,4,Penetanguishene, Ontario,"We had an excellent vacation! Access to a canoe, badminton, bonfire"
Prospect Lake Rentals now renting for Summer 2018,4.5,6,Bracebridge, Ontario,"The cottage, people and environment are exceptional. Brenda replied to all my que..."
Oasis in the Heart of Downtown!,4,5,Montreal, Quebec, mention of vacation rentals does not allow guests to upload pictures of rentals that advertise on
Victoria Area Oceanfront studio,5,5,Metchosin, British Columbia, mention of vacation rentals work/vacation rental. His place is as advertised with a backyard garden directly
"StayAtTremblant! Best location on Hill, walk to village, ask about pool/beach",5,32,Mont Tremblant, Quebec,"My wife and I had an amazing vacation, playing golf at Le Maitre Golf"
Azure Blue Beach House ~*~ Near By Telegraph Cove,5,22,Port McNeill, British Columbia,passing by including one evening an orca. For a two bedroom rental it
Bel Air Tremblant Stowe Miniloft #4,5,31,Mont Tremblant, Quebec,easy to get to all the resorts in mont tremblant! It's a good choice for family vacation! We enjoyed a lot!
Seal Cove Beach Smokeshed Cottages,4.5,4,Grand Manan, New Brunswick, mention of vacation rentals description of their renovated home and adjacent apartment. The rental
Red Head Retreat,5,7,Shelburne, Nova Scotia, mention of vacation rentals Vacation Rentals and it certainly won't be our last.
Downtown Vancouver Executive 2 bedroom 2 bath,5,13,Vancouver, British Columbia,the garage is easy (and free). Everything you need is included for a great vacation.
The Bellevarde Chalet Unit D at Big White Resort,5,27,Big White, British Columbia,afternoon. Owner is very helpful throughout the rental process and
"Blitz Beach House Oceanfront Retreat, Powell River near Lund",5,20,Powell River, British Columbia,", and it was the cleanest rental we've ever experienced - not a speck"
LUXURY LAKE HOME EXCELLENT LOCATION STUNNING VIEWS,5,3,Kelowna, British Columbia, mention of vacation rentals rent long term between other vacation rentals. The owner was very
